position,artist,title
1,Kuba i Kuba,Stygnie lato
2,"ANOTR, 54 Ultra",Talk To You
3,Męskie Granie Orkiestra 2026,Nareszcie
4,"Shakira, Burna Boy",Dai Dai
5,Sarsa,Czy będziemy się pamiętać ?
6,"Dubdogz, Fezzo, Zaark",How Does It Feel
7,"Alle Farben, Rene Miller",Body Talk
8,sombr,My Body Isn`t Ready
9,Dawid Podsiadło,Na błysk
10,The Bausa,Magnetic
11,"David Guetta, Alok, Stick Figure",Run Run River (Angels Above Me)
12,Mrozu,Nie ma miejsca jak dom
13,Temper City,Self Aware
14,Marissa,Odkochaj
15,Jasiek Piwowarczyk,Halo Houston
16,"Gibbs, Igo, 4Money",Ostatni dzień lata
17,Sanah,Itepe Itede
18,"Martin Garrix, Ed Sheeran",Repeat It
19,Michał Szpak,Maj
20,"Wiktoria Kida, Księga Żywiołów",Co mi tam
